year,month,inflation_1
1950,2,-3.552289
1950,3,5.24754
1950,4,1.69286
1950,5,5.064298
1950,6,6.719322
1950,7,11.66892
1950,8,9.912501
1950,9,8.346786
1950,10,6.517766
1950,11,4.865085
1950,12,16.076321
1951,1,19.15424
1951,2,14.06191
1951,3,4.650814
1951,4,1.54631
1951,5,4.62701
1951,6,-1.540355
1951,7,1.540355
1951,8,0
1951,9,7.672257
1951,10,6.102576
1951,11,6.209472
1951,12,4.533152
1952,1,0
1952,2,-7.564866
1952,3,0
1952,4,19.57049
1952,5,-1.494151
1952,6,1.494151
1952,7,0
1952,8,-1.494151
1952,9,0
1952,10,1.494151
1952,11,0
1952,12,-1.494151
1953,1,-2.993894
1953,2,-6.010291
1953,3,3.008908
1953,4,1.50163
1953,5,2.997634
1953,6,4.482457
1953,7,2.979029
1953,8,2.971549
1953,9,1.483071
1953,10,2.960655
1953,11,-4.443726
1953,12,-1.484906
1954,1,2.967978
1954,2,-1.483071
1954,3,-1.484906
1954,4,-2.839906
1954,5,2.839906
1954,6,1.484906
1954,7,0
1954,8,-1.484906
1954,9,-2.839906
1954,10,-2.982291
1954,11,2.982291
1954,12,-2.982291
1955,1,0
1955,2,0
1955,3,1.49202
1955,4,0
1955,5,0
1955,6,0
1955,7,2.978693
1955,8,-2.978693
1955,9,4.330177
1955,10,0
1955,11,1.484906
1955,12,-2.83639
1956,1,0
1956,2,0
1956,3,2.83639
1956,4,1.483071
1956,5,5.914023
1956,6,5.751562
1956,7,8.774637
1956,8,-1.457907
1956,9,1.457907
1956,10,5.682521
1956,11,1.449363
1956,12,2.893485
1957,1,0
1957,2,2.886525
1957,3,2.74883
1957,4,2.873018
1957,5,2.866156
1957,6,7.006195
1957,7,5.678584
1957,8,1.415482
1957,9,1.413814
1957,10,0
1957,11,4.103441
1957,12,0
1958,1,7.020216
1958,2,1.399128
1958,3,6.84486
1958,4,2.777502
1958,5,0
1958,6,1.386248
1958,7,1.384744
1958,8,0
1958,9,0
1958,10,1.383148
1958,11,1.381556
1958,12,-1.381556
1959,1,1.381556
1959,2,-1.381556
1959,3,0
1959,4,1.381556
1959,5,1.254555
1959,6,5.504627
1959,7,2.742874
1959,8,-1.370653
1959,9,2.739743
1959,10,3.973921
1959,11,1.36301
1959,12,-2.727571
1960,1,1.36456
1960,2,0
1960,3,6.799529
1960,4,0
1960,5,2.586158
1960,6,0
1960,7,0
1960,8,1.352397
1960,9,5.394306
1960,10,1.344819
1960,11,0
1960,12,0
1961,1,1.343314
1961,2,-1.343314
1961,3,1.343314
1961,4,0
1961,5,1.341812
1961,6,5.23089
1961,7,-1.335972
1961,8,2.670459
1961,9,0
1961,10,0
1961,11,0
1961,12,0
1962,1,2.664529
1962,2,2.658626
1962,3,2.532271
1962,4,0
1962,5,0
1962,6,2.647071
1962,7,0
1962,8,6.592472
1962,9,-1.3156
1962,10,0
1962,11,-1.317044
1962,12,1.317044
1963,1,1.3156
1963,2,1.194725
1963,3,0
1963,4,0
1963,5,5.242814
1963,6,3.917133
1963,7,0
1963,8,1.302875
1963,9,1.183181
1963,10,0
1963,11,2.598952
1963,12,0
1964,1,0
1964,2,-1.298772
1964,3,1.298772
1964,4,2.593336
1964,5,0
1964,6,2.587653
1964,7,1.291782
1964,8,-1.291782
1964,9,2.582175
1964,10,1.171857
1964,11,2.574118
1964,12,1.284992
1965,1,-1.284992
1965,2,0
1965,3,1.284992
1965,4,3.846739
1965,5,2.557659
1965,6,6.254851
1965,7,1.270154
1965,8,-2.541654
1965,9,2.541654
1965,10,0
1965,11,2.536194
1965,12,3.67957
1966,1,0
1966,2,7.553715
1966,3,2.393494
1966,4,4.999561
1966,5,0
1966,6,2.491991
1966,7,2.486741
1966,8,7.317456
1966,9,1.23394
1966,10,4.811423
1966,11,0
1966,12,0
1967,1,0
1967,2,1.227743
1967,3,2.451723
1967,4,2.446724
1967,5,3.549967
1967,6,3.649961
1967,7,4.849325
1967,8,2.307577
1967,9,3.617287
1967,10,3.606416
1967,11,2.289339
1967,12,3.588767
1968,1,4.768305
1968,2,3.456034
1968,3,4.735883
1968,4,3.539687
1968,5,4.596686
1968,6,3.515803
1968,7,3.399432
1968,8,3.495549
1968,9,3.485477
1968,10,5.681739
1968,11,3.45899
1968,12,2.300467
1969,1,3.338259
1969,2,4.574945
1969,3,6.726781
1969,4,5.662605
1969,5,3.282331
1969,6,7.861482
1969,7,3.252032
1969,8,4.457231
1969,9,4.339972
1969,10,4.424734
1969,11,5.408054
1969,12,7.570396
1970,1,2.182552
1970,2,5.439077
1970,3,3.153226
1970,4,7.55364
1970,5,4.197689
1970,6,3.211568
1970,7,5.236804
1970,8,2.126986
1970,9,4.242622
1970,10,6.240278
1970,11,4.110415
1970,12,5.237093
1971,1,2.088382
1971,2,5.11083
1971,3,5.183215
1971,4,6.096802
1971,5,5.041712
1971,6,6.133401
1971,7,2.962434
1971,8,1.016681
1971,9,1.01582
1971,10,2.029064
1971,11,1.013247
1971,12,3.952596
1972,1,1.009064
1972,2,5.945445
1972,3,3.007194
1972,4,2.999539
1972,5,2.901685
1972,6,2.98498
1972,7,2.977574
1972,8,2.880218
1972,9,4.93443
1972,10,2.950948
1972,11,3.834231
1972,12,2.934329
1973,1,5.758887
1973,2,8.630559
1973,3,11.4407
1973,4,9.436906
1973,5,6.536329
1973,6,7.438794
1973,7,3.659775
1973,8,19.304211
1973,9,1.838323
1973,10,7.242186
1973,11,8.105994
1973,12,8.05148
1974,1,9.785962
1974,2,15.81417
1974,3,12.12203
